Season,Round,Age,Location,name,value
Autumn/Winter,1,13,Berth C,Dry~weight~(g~m^-2),0.8879999999999957
Autumn/Winter,1,13,Berth C,Fat~(g~m^-2),0.002663999999999987
Autumn/Winter,1,13,Berth C,Protein~(g~m^-2),0.022199999999999897
Autumn/Winter,1,13,Berth C,EPA~(g~m^-2),6.775243683705368e-5
Autumn/Winter,1,13,Berth C,SFA~(g~m^-2),0.0010745113029626485
Autumn/Winter,1,13,Berth C,MUFA~(g~m^-2),5.053908335313973e-4
Autumn/Winter,1,13,Berth C,PUFA~(g~m^-2),2.638110509342778e-4
Autumn/Winter,1,13,Berth C,ω-3~PUFA~(g~m^-2),1.340227891182968e-4
Autumn/Winter,1,13,Berth C,Dry~weight~(g~m^-2),0.6069333333333304
Autumn/Winter,1,13,Berth C,Fat~(g~m^-2),9.710933333333288e-4
Autumn/Winter,1,13,Berth C,Protein~(g~m^-2),0.009103999999999956
Autumn/Winter,1,13,Berth C,EPA~(g~m^-2),2.8652495840983445e-5
Autumn/Winter,1,13,Berth C,SFA~(g~m^-2),3.7232756757688755e-4
Autumn/Winter,1,13,Berth C,MUFA~(g~m^-2),1.707533873766716e-4
Autumn/Winter,1,13,Berth C,PUFA~(g~m^-2),1.191788948629014e-4
Autumn/Winter,1,13,Berth C,ω-3~PUFA~(g~m^-2),5.660803908042944e-5
Autumn/Winter,1,13,Berth C,Dry~weight~(g~m^-2),1.1343999999999994
Autumn/Winter,1,13,Berth C,Fat~(g~m^-2),0.002609119999999998
Autumn/Winter,1,13,Berth C,Protein~(g~m^-2),0.02041919999999999
Autumn/Winter,1,13,Berth C,EPA~(g~m^-2),8.987944800322765e-5
Autumn/Winter,1,13,Berth C,SFA~(g~m^-2),9.719236672712662e-4
Autumn/Winter,1,13,Berth C,MUFA~(g~m^-2),4.420434669976923e-4
Autumn/Winter,1,13,Berth C,PUFA~(g~m^-2),3.488956754307109e-4
Autumn/Winter,1,13,Berth C,ω-3~PUFA~(g~m^-2),1.844571398793513e-4
Autumn/Winter,1,13,Berth G,Dry~weight~(g~m^-2),1.024533333333333
Autumn/Winter,1,13,Berth G,Fat~(g~m^-2),0.0023564266666666655
Autumn/Winter,1,13,Berth G,Protein~(g~m^-2),0.03688319999999999
Autumn/Winter,1,13,Berth G,EPA~(g~m^-2),8.08823311903948e-5
Autumn/Winter,1,13,Berth G,SFA~(g~m^-2),9.409311195149257e-4
Autumn/Winter,1,13,Berth G,MUFA~(g~m^-2),4.4985982300181485e-4
Autumn/Winter,1,13,Berth G,PUFA~(g~m^-2),2.873248527049262e-4
Autumn/Winter,1,13,Berth G,ω-3~PUFA~(g~m^-2),1.4616592707978484e-4
Autumn/Winter,1,13,Berth G,Dry~weight~(g~m^-2),1.045866666666664
Autumn/Winter,1,13,Berth G,Fat~(g~m^-2),0.0011504533333333304
Autumn/Winter,1,13,Berth G,Protein~(g~m^-2),0.020917333333333277
Autumn/Winter,1,13,Berth G,EPA~(g~m^-2),1.6184795066254705e-5
Autumn/Winter,1,13,Berth G,SFA~(g~m^-2),5.356215120161704e-4
Autumn/Winter,1,13,Berth G,MUFA~(g~m^-2),2.2811040575733098e-4
Autumn/Winter,1,13,Berth G,PUFA~(g~m^-2),8.225684080731802e-5
Autumn/Winter,1,13,Berth G,ω-3~PUFA~(g~m^-2),3.2940818193671336e-5
Autumn/Winter,1,13,Berth G,Dry~weight~(g~m^-2),0.8335999999999993
Autumn/Winter,1,13,Berth G,Fat~(g~m^-2),5.835199999999997e-4
Autumn/Winter,1,13,Berth G,Protein~(g~m^-2),0.013337599999999991
Autumn/Winter,1,13,Berth G,EPA~(g~m^-2),1.4357831671438004e-5
Autumn/Winter,1,13,Berth G,SFA~(g~m^-2),2.4856996081177045e-4
Autumn/Winter,1,13,Berth G,MUFA~(g~m^-2),1.085811020152499e-4
Autumn/Winter,1,13,Berth G,PUFA~(g~m^-2),4.8008999651370835e-5
Autumn/Winter,1,13,Berth G,ω-3~PUFA~(g~m^-2),2.198542974688945e-5
Autumn/Winter,1,32,Berth C,Dry~weight~(g~m^-2),4.497066666666674
Autumn/Winter,1,32,Berth C,Fat~(g~m^-2),0.08319573333333347
Autumn/Winter,1,32,Berth C,Protein~(g~m^-2),0.44970666666666737
Autumn/Winter,1,32,Berth C,EPA~(g~m^-2),0.003663375638860847
Autumn/Winter,1,32,Berth C,SFA~(g~m^-2),0.029859841798205774
Autumn/Winter,1,32,Berth C,MUFA~(g~m^-2),0.02108772231387898
Autumn/Winter,1,32,Berth C,PUFA~(g~m^-2),0.010650432084615443
Autumn/Winter,1,32,Berth C,ω-3~PUFA~(g~m^-2),0.00660073683292927
Autumn/Winter,1,32,Berth C,Dry~weight~(g~m^-2),5.252800000000008
Autumn/Winter,1,32,Berth C,Fat~(g~m^-2),0.07669088000000011
Autumn/Winter,1,32,Berth C,Protein~(g~m^-2),0.48851040000000073
Autumn/Winter,1,32,Berth C,EPA~(g~m^-2),0.0023986832077658505
Autumn/Winter,1,32,Berth C,SFA~(g~m^-2),0.027966186014644408
Autumn/Winter,1,32,Berth C,MUFA~(g~m^-2),0.020653277465840322
Autumn/Winter,1,32,Berth C,PUFA~(g~m^-2),0.008112469618059375
