Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,Protein~(g/m^2),95.28287999999999
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,EPA~(g/m^2),0.7028200082896485
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,SFA~(g/m^2),4.5550885174946485
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,MUFA~(g/m^2),2.111515764035422
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,PUFA~(g/m^2),2.4507028115143386
Spring/Summer,1,32,Berth C,B,86.5,19.7214,6.6,0.9,0.88,0.12,8.8,1.19,0.0012704384,0.009528288,32,0.084590625,0.397012,2.9775899999999997,2.7069,ω3~PUFA~(g/m^2),1.5757428301798349
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,Fat~(g/m^2),14.082997333333335
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,Dry~weight~(g),3.181400000000001
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,Protein~(g/m^2),122.16576000000003
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,EPA~(g/m^2),0.6865176639961745
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,SFA~(g/m^2),5.253548287760889
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,MUFA~(g/m^2),2.385930242085065
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,PUFA~(g/m^2),2.6233978275001344
Spring/Summer,1,32,Berth C,C,81.1,17.1498,7.2,1.4,0.83,0.16,8.3,1.57,0.0014082997333333335,0.012216576000000003,32,0.09941875000000003,0.4400936666666667,3.817680000000001,3.1814,ω3~PUFA~(g/m^2),1.6566459039383092
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,Fat~(g/m^2),25.863888000000006
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,Dry~weight~(g),4.3689
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,Protein~(g/m^2),277.27952
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,EPA~(g/m^2),1.5361524177288004
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,SFA~(g/m^2),8.745689372826265
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,MUFA~(g/m^2),3.95870629812003
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,PUFA~(g/m^2),5.125351782935685
Spring/Summer,1,32,Berth G,A,89.3,40.8474,11.9,1.3,1.11,0.12,11.1,1.2,0.0025863888000000005,0.027727952,32,0.136528125,0.8082465000000002,8.664985,4.3689,ω3~PUFA~(g/m^2),3.367080029129884
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,Fat~(g/m^2),21.80651199999999
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,Dry~weight~(g),3.4358999999999993
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,Protein~(g/m^2),93.45647999999998
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,EPA~(g/m^2),1.9421067811990904
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,SFA~(g/m^2),7.252281628892101
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,MUFA~(g/m^2),3.2875843620478307
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,PUFA~(g/m^2),5.663603288956268
Spring/Summer,1,32,Berth G,B,86.3,24.9392,5.1,0.7,1.19,0.16,11.9,1.63,0.0021806511999999992,0.009345647999999998,32,0.10737187499999998,0.6814534999999997,2.9205149999999995,3.4359,ω3~PUFA~(g/m^2),3.34007373451267
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,Fat~(g/m^2),20.507973333333336
