"name","contrast","estimate","SE","df","t.ratio","p.value"
"C18:1n9c oleic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.92,0.08,63,11.62,"<0.001"
"C18:1n9c oleic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.55,0.08,63,6.98,"<0.001"
"C18:1n9c oleic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.55,0.08,63,6.95,"<0.001"
"C18:1n9c oleic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.18,0.08,63,2.31,"0.204"
"C18:1n9c oleic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.37,0.08,63,-4.64,"<0.001"
"C18:1t elaidic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.07,0.05,63,-1.48,"0.679"
"C18:1t elaidic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.06,0.05,63,-1.4,"0.726"
"C18:1t elaidic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.02,0.05,63,0.46,"0.997"
"C18:1t elaidic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",-0.03,0.05,63,-0.63,"0.988"
"C18:1t elaidic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",-0.05,0.05,63,-1.09,"0.884"
"C18:1t elaidic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0,0.05,63,0.08,">0.999"
"C18:1t elaidic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.09,0.05,63,1.94,"0.389"
"C18:1t elaidic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.04,0.05,63,0.85,"0.957"
"C18:1t elaidic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.02,0.05,63,0.39,"0.999"
"C18:1t elaidic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.09,0.05,63,1.86,"0.434"
"C18:1t elaidic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.04,0.05,63,0.77,"0.971"
"C18:1t elaidic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.01,0.05,63,0.31,">0.999"
"C18:1t elaidic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.05,0.05,63,-1.09,"0.883"
"C18:1t elaidic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.07,0.05,63,-1.55,"0.634"
"C18:1t elaidic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.02,0.05,63,-0.46,"0.997"
"C18:2n6c linoleic acid","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.08,0.07,63,-1.13,"0.869"
"C18:2n6c linoleic acid","(Age13 Spring/Summer) - (Age54 Spring/Summer)",-0.11,0.07,63,-1.49,"0.675"
"C18:2n6c linoleic acid","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",-0.11,0.07,63,-1.49,"0.674"
"C18:2n6c linoleic acid","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.07,0.07,63,0.92,"0.939"
"C18:2n6c linoleic acid","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.23,0.07,63,3.14,"0.029"
"C18:2n6c linoleic acid","(Age32 Spring/Summer) - (Age54 Spring/Summer)",-0.03,0.07,63,-0.36,">0.999"
"C18:2n6c linoleic acid","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",-0.03,0.07,63,-0.36,">0.999"
"C18:2n6c linoleic acid","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.15,0.07,63,2.05,"0.328"
"C18:2n6c linoleic acid","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.31,0.07,63,4.27,"<0.001"
"C18:2n6c linoleic acid","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",-0,0.07,63,-0,">0.999"
"C18:2n6c linoleic acid","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.17,0.07,63,2.41,"0.170"
"C18:2n6c linoleic acid","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.33,0.07,63,4.63,"<0.001"
"C18:2n6c linoleic acid","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",0.17,0.07,63,2.41,"0.169"
"C18:2n6c linoleic acid","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",0.33,0.07,63,4.63,"<0.001"
"C18:2n6c linoleic acid","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.16,0.07,63,2.22,"0.242"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Spring/Summer) - (Age32 Spring/Summer)",0.03,0.1,63,0.33,">0.999"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.13,0.1,63,1.22,"0.823"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.94,0.1,63,8.98,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.66,0.1,63,6.33,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.32,0.1,63,3.02,"0.040"
"C18:3n3 alpha linolenic acid (ALA)","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.09,0.1,63,0.89,"0.947"
"C18:3n3 alpha linolenic acid (ALA)","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.9,0.1,63,8.65,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.63,0.1,63,6,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.28,0.1,63,2.69,"0.091"
"C18:3n3 alpha linolenic acid (ALA)","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.81,0.1,63,7.76,"<0.001"
